ITUB,03/03/2014,09:30:00.006,13.07,P,3,13.16,P,11
ITUB,03/03/2014,09:30:00.026,13.07,P,4,13.16,P,12
ITUB,03/03/2014,09:30:00.135,13.09,P,6,13.16,P,12
ITUB,03/03/2014,09:30:00.149,13.1,P,8,13.16,P,12
ITUB,03/03/2014,09:30:01.464,13.13,N,28,13.16,P,12
ITUB,03/03/2014,09:30:01.471,13.13,N,28,13.15,N,1
ITUB,03/03/2014,09:30:01.473,13.11,T,7,13.15,N,1
ITUB,03/03/2014,09:30:01.522,13.11,T,4,13.15,N,1
ITUB,03/03/2014,09:30:01.563,13.11,T,3,13.15,N,1
ITUB,03/03/2014,09:30:01.653,13.11,T,3,13.16,P,12
ITUB,03/03/2014,09:30:01.663,13.11,T,3,13.16,N,1
